Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:2001244~positive regulation of intrinsic apoptotic signaling pathway	10	6.289308176100629	1.4614090953284786E-11	BID, CAV1, DNM1L, BAX, CLU, BCL2L1, PMAIP1, BMF, BCL2L11, BCAP31	159	33	16792	32.00304936153992	2.930124542999124E-8	2.663749665288151E-9	2.513362851175316E-8
GOTERM_BP_DIRECT	GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling	15	9.433962264150944	3.656586413014502E-10	CFLAR, BCL10, TNF, SLC20A1, RELA, FASLG, BIRC3, CTNNB1, TNFSF10, CTH, HMOX1, CASP8, CASP1, IL1A, F2R	159	161	16792	9.839446853392712	7.331452535064287E-7	6.109545835908392E-8	6.288677689703093E-7
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	15	9.433962264150944	8.785291696569969E-10	PLAT, BMP2, CAV1, CREBBP, MMP2, TGFB2, SOD2, CD38, CASP3, CDKN1B, HMOX1, PSEN2, TGFBR3, PAK1, CASP1	159	172	16792	9.210179903466432	1.761449371806556E-6	1.3549621569186598E-7	1.5109138162827662E-6
GOTERM_BP_DIRECT	GO:0032355~response to estradiol	12	7.547169811320755	8.931000521927203E-10	BID, TXNIP, CD38, CASP3, CCND1, CDKN1B, CASP9, CASP8, ANXA1, PDGFRB, RARA, CTNNB1	159	91	16792	13.926601700186605	1.7906639744325048E-6	1.2790467596168753E-7	1.535973170874172E-6
GOTERM_BP_DIRECT	GO:0097190~apoptotic signaling pathway	11	6.918238993710692	1.1526666765496347E-9	CD38, CAV1, CASP3, BAX, CASP8, FASLG, FAS, DAP, CASP2, CD14, DAP3	159	71	16792	16.36212242005492	2.3110939215698068E-6	1.540730942828361E-7	1.982381525600374E-6
GOTERM_BP_DIRECT	GO:0001836~release of cytochrome c from mitochondria	8	5.031446540880504	1.2344000016978234E-9	BID, DNM1L, JUN, BAX, CLU, BCL2L1, PMAIP1, SOD2	159	23	16792	36.73393491933279	2.4749689921943485E-6	1.5468574143806535E-7	2.12294842816263E-6
GOTERM_BP_DIRECT	GO:0042493~response to drug	18	11.320754716981133	4.2525129996065106E-9	TXNIP, TSPO, HMGB2, IL6, RELA, MGMT, ANXA1, SOD1, TIMP2, SOD2, TGFB2, CTNNB1, CD38, CASP3, CDKN1A, CCND1, CDKN1B, JUN	159	304	16792	6.253227408142999	8.526252251228605E-6	5.015462624102796E-7	7.313565608679795E-6
GOTERM_BP_DIRECT	GO:0097194~execution phase of apoptosis	7	4.40251572327044	4.6741235942519044E-9	CFLAR, CASP3, AIFM3, MADD, CASP7, CASP8, CASP2	159	16	16792	46.20440251572327	9.371574014038764E-6	5.206453048689497E-7	8.038660836984235E-6
GOTERM_BP_DIRECT	GO:0090200~positive regulation of release of cytochrome c from mitochondria	8	5.031446540880504	5.7311338776703295E-9	BID, TNFSF10, DNM1L, BAX, BIK, PMAIP1, BMF, BCL2L11	159	28	16792	30.174303683737648	1.1490857483642536E-5	6.047852646462459E-7	9.85653029195177E-6
GOTERM_BP_DIRECT	GO:1902041~regulation of extrinsic apoptotic signaling pathway via death domain receptors	7	4.40251572327044	7.1676415318546145E-9	CFLAR, TNFSF10, LGALS3, MADD, CASP8, FASLG, FAS	159	17	16792	43.4864964853866	1.4371017955538967E-5	7.185558028588446E-7	1.2327067511197498E-5
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	21	13.20754716981132	1.5719782723048312E-8	IL6, RELA, LEF1, FASLG, BCL2L1, HGF, CDK2, CDC25B, TIMP1, TGFB2, PTK2, CDKN1B, ATF3, EREG, CCND2, F2, AVPR1A, PDGFRB, RARA, PAK1, F2R	159	466	16792	4.759251761276217	3.151766786457788E-5	1.5008638526436968E-6	2.703522626879007E-5
GOTERM_BP_DIRECT	GO:0051402~neuron apoptotic process	8	5.031446540880504	1.9878312910532742E-8	BID, APP, PSEN1, ERBB3, CASP7, BAX, DIABLO, BCL2L1	159	33	16792	25.60243948923194	3.985522348926018E-5	1.8116355284814034E-6	3.418715632808045E-5
GOTERM_BP_DIRECT	GO:0043524~negative regulation of neuron apoptotic process	12	7.547169811320755	4.693849907592277E-8	ROCK1, BTG2, PSEN1, ERBB3, JUN, HMOX1, BAX, PPT1, BCL2L1, SOD1, SOD2, F2R	159	132	16792	9.600914808461978	9.4107264512866E-5	4.0918043624493805E-6	8.072583744800355E-5
GOTERM_BP_DIRECT	GO:0042060~wound healing	10	6.289308176100629	6.030324330811033E-8	CASP3, IL6, EREG, ERBB3, ERBB2, PDGFRB, DCN, PAK1, TGFB2, TIMP1	159	80	16792	13.20125786163522	1.2090069735914977E-4	5.037820911657498E-6	1.037107999368736E-4
GOTERM_BP_DIRECT	GO:0097191~extrinsic apoptotic signaling pathway	8	5.031446540880504	1.1693379705380716E-7	TNF, KRT18, TNFRSF12A, BAX, CASP8, FASLG, FAS, TGFB2	159	42	16792	20.116202455825096	2.3442479508517522E-4	9.378047100772058E-6	2.0110513816451459E-4
GOTERM_BP_DIRECT	GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling	9	5.660377358490567	1.6475991599715377E-7	PTK2, ERBB3, IL18, F2, PDGFRB, DCN, HGF, TGFB2, F2R	159	65	16792	14.622931785195936	3.3028910142252066E-4	1.270544462672607E-5	2.833573669036582E-4
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	18	11.320754716981133	2.0223973521224092E-7	IL6, BMP2, IGFBP6, TIMP2, SOD2, TGFB2, CTNNB1, CDKN1A, CDKN1B, EREG, BTG2, JUN, BTG3, IRF1, IL1B, RARA, IL1A, F2R	159	396	16792	4.800457404230989	4.0540850979364773E-4	1.5018061673699457E-5	3.478157966196882E-4
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	12	7.547169811320755	4.303261918663172E-7	CASP3, HMGB2, CASP9, JUN, CASP8, FASLG, DCN, FAS, CASP1, SOD2, F2R, GCH1	159	164	16792	7.727565577542567	8.624320918907413E-4	3.0813960969044984E-5	7.4008191622843E-4
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	28	17.61006289308176	4.4536046032474575E-7	HMGB2, RNASEL, TNF, PPP2R5B, LUM, IL18, PPP3R1, DCN, CTNNB1, APP, SQSTM1, IL1B, RARA, TOP2A, IL1A, BMP2, IL6, SMAD7, RELA, CREBBP, LEF1, HGF, BRCA1, DDIT3, ATF3, IFNB1, JUN, IRF1	159	981	16792	3.014354496438623	8.9254936236427E-4	3.07908335980267E-5	7.659379998914417E-4
GOTERM_BP_DIRECT	GO:0042542~response to hydrogen peroxide	8	5.031446540880504	4.67459684870266E-7	TXNIP, GPX1, CASP3, JUN, HMOX1, PDGFRB, SOD1, SOD2	159	51	16792	16.566284375385376	9.368177991424531E-4	3.124140821664234E-5	8.039444537311091E-4
GOTERM_BP_DIRECT	GO:0008635~activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c	5	3.1446540880503147	9.165224607441316E-7	CASP3, CASP9, CASP7, BAX, DIABLO	159	9	16792	58.67225716282321	0.0018359409705663854	5.927657777826667E-5	0.0015762438837496617
GOTERM_BP_DIRECT	GO:0032464~positive regulation of protein homooligomerization	5	3.1446540880503147	9.165224607441316E-7	BID, BIK, FAS, BMF, BCL2L11	159	9	16792	58.67225716282321	0.0018359409705663854	5.927657777826667E-5	0.0015762438837496617
GOTERM_BP_DIRECT	GO:0071407~cellular response to organic cyclic compound	8	5.031446540880504	1.293357616469065E-6	BMP2, CASP3, TNF, CDKN1B, IL18, CASP8, MGMT, IL1B	159	59	16792	14.320008527875494	0.002589824301564847	8.103370715240032E-5	0.0022243217137063453
GOTERM_BP_DIRECT	GO:0042127~regulation of cell proliferation	12	7.547169811320755	1.4310749836981116E-6	BID, TXNIP, SAT1, PTK2, TNF, CDKN1B, XIAP, ERBB3, JUN, ANXA1, FAS, BRCA1	159	185	16792	6.850382457929627	0.0028651948673360517	8.694492902483475E-5	0.0024611658595685704
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	19	11.949685534591195	1.737369328751661E-6	BCL10, IL6, BMP2, HMGB2, TNF, RELA, CREBBP, LEF1, DDIT3, CDK2, BRCA1, CTNNB1, CD38, PSEN1, JUN, IRF1, IL1B, RARA, F2R	159	515	16792	3.896293582463211	0.003477368431637262	1.0244853208829507E-4	0.0029879241259633815
GOTERM_BP_DIRECT	GO:0043280~positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	7	4.40251572327044	1.85912720182583E-6	BCL10, TNFSF10, TNF, PMAIP1, BCL2L11, F2R, BCAP31	159	40	16792	18.481761006289307	0.00372061480128949	1.0649585761968172E-4	0.0031973199076995584
GOTERM_BP_DIRECT	GO:0001934~positive regulation of protein phosphorylation	10	6.289308176100629	3.164614730808715E-6	PTK2, BMP2, CCND1, TNF, CCND2, SQSTM1, ERBB2, F2, IL1B, PAK1	159	127	16792	8.315752983707226	0.006324975173329528	1.7623620677331697E-4	0.005442434862190648
GOTERM_BP_DIRECT	GO:0007568~aging	11	6.918238993710692	3.6608288002114982E-6	TSPO, IL6, CASP9, CASP7, RELA, JUN, DCN, SOD1, TIMP2, CASP2, TIMP1	159	165	16792	7.040670859538784	0.007313103348196681	1.9835803200118907E-4	0.006295787610977044
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	11	6.918238993710692	3.6608288002114982E-6	PRF1, RNASEL, IL6, IFNB1, RELA, IFITM3, BNIP3L, IRF1, PMAIP1, DNAJC3, ISG20	159	165	16792	7.040670859538784	0.007313103348196681	1.9835803200118907E-4	0.006295787610977044
GOTERM_BP_DIRECT	GO:2001238~positive regulation of extrinsic apoptotic signaling pathway	6	3.7735849056603774	3.881139362605863E-6	BID, BCL10, CYLD, CAV1, TNFSF10, TNFRSF12A	159	26	16792	24.37155297532656	0.007751500483196394	2.0476060007768027E-4	0.006674659441785469
GOTERM_BP_DIRECT	GO:0071260~cellular response to mechanical stimulus	8	5.031446540880504	4.5876692368517364E-6	BCL10, CASP8, IRF1, IL1B, FAS, CASP1, GADD45A, CASP2	159	71	16792	11.89972539640358	0.009156122988521087	2.3582598148175204E-4	0.007889681793615821
GOTERM_BP_DIRECT	GO:0097296~activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	5	3.1446540880503147	5.050157253410253E-6	TNFSF10, BAX, CASP8, FASLG, FAS	159	13	16792	40.6192549588776	0.010074499654121105	2.531077343556065E-4	0.008685016821374791
GOTERM_BP_DIRECT	GO:0097284~hepatocyte apoptotic process	5	3.1446540880503147	5.050157253410253E-6	BID, KRT18, GSN, BCL2L1, FAS	159	13	16792	40.6192549588776	0.010074499654121105	2.531077343556065E-4	0.008685016821374791
GOTERM_BP_DIRECT	GO:0097193~intrinsic apoptotic signaling pathway	6	3.7735849056603774	8.156529854022627E-6	CDKN1A, CASP4, BAX, CLU, DIABLO, PMAIP1	159	30	16792	21.12201257861635	0.016220909887974533	3.987962901700337E-4	0.014026853667092887
GOTERM_BP_DIRECT	GO:1900740~positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	6	3.7735849056603774	8.156529854022627E-6	BID, CASP8, PPP3R1, PMAIP1, BMF, BCL2L11	159	30	16792	21.12201257861635	0.016220909887974533	3.987962901700337E-4	0.014026853667092887
GOTERM_BP_DIRECT	GO:0001837~epithelial to mesenchymal transition	6	3.7735849056603774	1.545016600587124E-5	BMP2, TGFBR3, LEF1, HGF, CTNNB1, TGFB2	159	34	16792	18.637069922308545	0.03050292580045233	7.372952581948811E-4	0.026568212260602575
GOTERM_BP_DIRECT	GO:0048661~positive regulation of smooth muscle cell proliferation	7	4.40251572327044	2.076596703167737E-5	IL6, TNF, EREG, IL18, JUN, HMOX1, PDGFRB	159	60	16792	12.321174004192871	0.040781315502886106	9.678149974172712E-4	0.0357077631371272
GOTERM_BP_DIRECT	GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	6	3.7735849056603774	2.365870534329703E-5	TNF, MCL1, IL1B, BCL2L1, IL1A, BCL2L10	159	37	16792	17.12595614482407	0.04632874690626321	0.0010775160021858632	0.0406809687162446
GOTERM_BP_DIRECT	GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	7	4.40251572327044	2.510723757212741E-5	CDKN1A, CDKN1B, BTG2, BAX, GADD45A, CASP2, CDK2	159	62	16792	11.923716778251165	0.04909455023879916	0.0011180554717589164	0.04317120270694863
GOTERM_BP_DIRECT	GO:0008637~apoptotic mitochondrial changes	5	3.1446540880503147	2.6196751094445697E-5	BID, MCL1, BAX, BIK, BCL2L1	159	19	16792	27.792121813968883	0.051169565047119114	0.001141199942944815	0.04504419371178514
GOTERM_BP_DIRECT	GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors	6	3.7735849056603774	2.7037590595984216E-5	BID, TNF, BAX, DIABLO, FASLG, FAS	159	38	16792	16.67527308838133	0.05276787721763887	0.0011527627604359658	0.04648966471141325
GOTERM_BP_DIRECT	GO:0001844~protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	4	2.515723270440252	2.7826393768546653E-5	BAX, PMAIP1, BMF, BCL2L11	159	7	16792	60.348607367475296	0.05426482952297418	0.001161672563841032	0.047845663161816265
GOTERM_BP_DIRECT	GO:0032570~response to progesterone	6	3.7735849056603774	3.077950510726542E-5	TXNIP, CD38, TSPO, CAV1, RELA, TGFB2	159	39	16792	16.24770198355104	0.059848134294146926	0.0012586736846720292	0.05292207915338354
GOTERM_BP_DIRECT	GO:0008219~cell death	6	3.7735849056603774	3.077950510726542E-5	BCL10, CDKN1B, HMOX1, CLU, EMP1, TGFB2	159	39	16792	16.24770198355104	0.059848134294146926	0.0012586736846720292	0.05292207915338354
GOTERM_BP_DIRECT	GO:0000165~MAPK cascade	12	7.547169811320755	3.8518585650967696E-5	PEA15, CAV1, PTK2, TNF, EREG, ERBB3, IL18, ERBB2, PDGFRB, IL1B, PAK1, SPTAN1	159	262	16792	4.837102117240386	0.07432423520306508	0.0015434327139081105	0.06622445270391131
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	12	7.547169811320755	3.8518585650967696E-5	CAV1, BMP2, IL6, TNF, GSN, ERBB3, ERBB2, LEF1, IL1B, BRCA1, IL1A, TGFB2	159	262	16792	4.837102117240386	0.07432423520306508	0.0015434327139081105	0.06622445270391131
GOTERM_BP_DIRECT	GO:0035234~ectopic germ cell programmed cell death	4	2.515723270440252	4.421446633967175E-5	BAX, IL1B, CASP2, IL1A	159	8	16792	52.80503144654089	0.08483597261868925	0.0017367638981539146	0.0760137923827009
GOTERM_BP_DIRECT	GO:2001243~negative regulation of intrinsic apoptotic signaling pathway	5	3.1446540880503147	4.8363967455213466E-5	MCL1, BCL2L2, BCL2L1, VDAC2, BCL2L10	159	22	16792	24.00228702115495	0.09241867246891555	0.0018631103232215063	0.08314484709712744
GOTERM_BP_DIRECT	GO:0010165~response to X-ray	5	3.1446540880503147	4.8363967455213466E-5	CDKN1A, CASP3, CCND1, ANXA1, PMAIP1	159	22	16792	24.00228702115495	0.09241867246891555	0.0018631103232215063	0.08314484709712744
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	11	6.918238993710692	5.0325418965414665E-5	SAT1, CAV1, PTK2, EREG, TNFRSF12A, IL18, JUN, HMOX1, RHOB, MMP2, TGFB2	159	223	16792	5.209464985757396	0.09598109309459213	0.0019020567946351763	0.08651549946186998
GOTERM_BP_DIRECT	GO:0001889~liver development	7	4.40251572327044	6.895346476434755E-5	RELA, IGF2R, JUN, TGFBR3, RARA, HGF, SOD2	159	74	16792	9.990141084480706	0.1291246846617521	0.0025570300952117986	0.11852148910461713
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	16	10.062893081761008	7.531476174736269E-5	BMP2, HMGB2, TNF, RELA, LEF1, PDCD4, DDIT3, BRCA1, CTNNB1, CD38, CDKN1B, EREG, JUN, IRF1, RARA, DAP	159	499	16792	3.386294601782181	0.14016243379787274	0.002741902900355586	0.12944901212811333
GOTERM_BP_DIRECT	GO:0034097~response to cytokine	6	3.7735849056603774	1.259159049580795E-4	MCL1, JUN, RARA, BCL2L1, TIMP2, TIMP1	159	52	16792	12.18577648766328	0.22312614084803606	0.004498374817649475	0.21633225488232322
GOTERM_BP_DIRECT	GO:0006974~cellular response to DNA damage stimulus	10	6.289308176100629	1.576404614028994E-4	CDKN1A, CCND1, BTG2, XIAP, CASP9, PSEN1, PMAIP1, TOP2A, BRCA1, DDIT3	159	208	16792	5.0774068698597	0.27100910763106123	0.005530161526370536	0.2707676823126226
GOTERM_BP_DIRECT	GO:0010803~regulation of tumor necrosis factor-mediated signaling pathway	5	3.1446540880503147	1.7088051219200692E-4	CYLD, TNF, MADD, CASP8, BIRC3	159	30	16792	17.60167714884696	0.2901096116212398	0.005890251346816644	0.29347770370572457
GOTERM_BP_DIRECT	GO:2000379~positive regulation of reactive oxygen species metabolic process	5	3.1446540880503147	1.7088051219200692E-4	TSPO, CDKN1A, F2, PDGFRB, GADD45A	159	30	16792	17.60167714884696	0.2901096116212398	0.005890251346816644	0.29347770370572457
GOTERM_BP_DIRECT	GO:0045765~regulation of angiogenesis	5	3.1446540880503147	1.9476628467969214E-4	IL6, TNFRSF12A, HMOX1, ERBB2, CTNNB1	159	31	16792	17.03388111178738	0.32331163827229403	0.0065975372444849745	0.33443549949662144
GOTERM_BP_DIRECT	GO:0060389~pathway-restricted SMAD protein phosphorylation	4	2.515723270440252	2.1812173260269112E-4	BMP2, SMAD7, TGFBR3, TGFB2	159	13	16792	32.49540396710208	0.35427513844972347	0.007263190889228666	0.37446860555914174
GOTERM_BP_DIRECT	GO:0046677~response to antibiotic	5	3.1446540880503147	2.2096827085700763E-4	CASP3, IL6, CASP9, CASP8, SOD1	159	32	16792	16.501572327044027	0.3579507978234687	0.00723745859315017	0.37934676427134884
GOTERM_BP_DIRECT	GO:0051092~positive regulation of NF-kappaB transcription factor activity	8	5.031446540880504	2.6392507118145513E-4	CFLAR, BCL10, IL6, CTH, TNF, RELA, CLU, IL1B	159	133	16792	6.3524849860500305	0.4109472911308485	0.0084997934994816	0.45293521994120844
GOTERM_BP_DIRECT	GO:0051260~protein homooligomerization	9	5.660377358490567	2.7317616819242757E-4	BID, PRF1, BCL10, CAV1, HMOX1, BAX, FAS, SOD2, GCH1	159	177	16792	5.37000319795331	0.4217754798886877	0.008657434366805106	0.468776391895509
GOTERM_BP_DIRECT	GO:0045787~positive regulation of cell cycle	5	3.1446540880503147	2.8083714018092317E-4	CCND1, CDKN1B, RARA, BCL2L11, TGFB2	159	34	16792	15.530891601923786	0.43059171141386354	0.008760735820964594	0.4818929064224764
GOTERM_BP_DIRECT	GO:0007283~spermatogenesis	13	8.176100628930817	2.8995335350302066E-4	HMGB2, BCL2L2, BCL2L1, SOD1, BIRC3, BCL2L11, BCL2L10, BCAP31, IGF2R, DNAJA1, RARA, BIK, CCNA1	159	385	16792	3.566054071714449	0.44090773914798786	0.008905353010919659	0.4974988495860866
GOTERM_BP_DIRECT	GO:0050727~regulation of inflammatory response	6	3.7735849056603774	3.133868843742157E-4	CASP4, XIAP, RELA, ANXA1, BIRC3, CASP1	159	63	16792	10.058101227912548	0.4665762703083296	0.009476616914556035	0.5376038708518549
GOTERM_BP_DIRECT	GO:0031398~positive regulation of protein ubiquitination	6	3.7735849056603774	3.373899691368009E-4	BCL10, CAV1, XIAP, SMAD7, BIRC3, BRCA1	159	64	16792	9.900943396226415	0.49164793513092797	0.010047408460331031	0.5786678634264075
GOTERM_BP_DIRECT	GO:0043122~regulation of I-kappaB kinase/NF-kappaB signaling	4	2.515723270440252	3.422440488882256E-4	TNF, SQSTM1, HSPB1, IL1B	159	15	16792	28.16268343815514	0.49657310380509034	0.01004213132836762	0.5869701837018626
GOTERM_BP_DIRECT	GO:0006309~apoptotic DNA fragmentation	4	2.515723270440252	3.422440488882256E-4	H1F0, CASP3, HMGB2, DFFA	159	15	16792	28.16268343815514	0.49657310380509034	0.01004213132836762	0.5869701837018626
GOTERM_BP_DIRECT	GO:0006469~negative regulation of protein kinase activity	7	4.40251572327044	3.4391549471687535E-4	IL6, BGN, HSPB1, DCN, DNAJC3, GADD45B, GADD45A	159	99	16792	7.467378184359315	0.4982579658989338	0.009945419275676937	0.5898288398555551
GOTERM_BP_DIRECT	GO:2001234~negative regulation of apoptotic signaling pathway	4	2.515723270440252	4.183215829436203E-4	CTH, PSEN1, BAX, CTNNB1	159	16	16792	26.402515723270444	0.567818764965178	0.011912904903818466	0.7170063798959347
GOTERM_BP_DIRECT	GO:0002576~platelet degranulation	7	4.40251572327044	4.255397051022324E-4	APP, CLU, HGF, SOD1, TIMP3, TGFB2, TIMP1	159	103	16792	7.177382915063808	0.5740309964577668	0.011947612755008552	0.7293356943859131
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	18	11.320754716981133	4.489988151358848E-4	TXNIP, SATB1, BMP2, CAV1, TNF, SMAD7, RELA, CREBBP, LEF1, FASLG, DDIT3, CTNNB1, CCND1, ATF3, BTG2, PSEN1, SQSTM1, RARA	159	720	16792	2.640251572327044	0.59361113767918	0.012428300369841327	0.7693963716176144
GOTERM_BP_DIRECT	GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	6	3.7735849056603774	4.7891171550701794E-4	GPX1, IL6, XIAP, CD44, LEF1, HGF	159	69	16792	9.183483729833197	0.6172786088834394	0.013070649173052451	0.8204559783260068
GOTERM_BP_DIRECT	GO:0000302~response to reactive oxygen species	5	3.1446540880503147	4.8022578621479637E-4	GPX1, GSR, GPX3, SOD1, SOD2	159	39	16792	13.5397516529592	0.6182861247698833	0.012930323905673613	0.8226984542121341
GOTERM_BP_DIRECT	GO:2000811~negative regulation of anoikis	4	2.515723270440252	5.044640104699732E-4	CAV1, PTK2, MCL1, BCL2L1	159	17	16792	24.84942656307806	0.6364016835706359	0.013398832960487939	0.8640526831653172
GOTERM_BP_DIRECT	GO:0090201~negative regulation of release of cytochrome c from mitochondria	4	2.515723270440252	5.044640104699732E-4	GPX1, LMNA, BCL2L1, HGF	159	17	16792	24.84942656307806	0.6364016835706359	0.013398832960487939	0.8640526831653172
GOTERM_BP_DIRECT	GO:0000187~activation of MAPK activity	7	4.40251572327044	5.215564369108196E-4	PEA15, BMP2, TNF, MADD, IL1B, HGF, SOD1	159	107	16792	6.909069535061423	0.6486573960815656	0.013668793679613045	0.893205290113408
GOTERM_BP_DIRECT	GO:0045071~negative regulation of viral genome replication	5	3.1446540880503147	5.297052082914383E-4	RNASEL, TNF, IFNB1, IFITM3, ISG20	159	40	16792	13.20125786163522	0.6543540629132298	0.013701890394124172	0.9071008797717273
GOTERM_BP_DIRECT	GO:0070266~necroptotic process	4	2.515723270440252	6.011900173374078E-4	CYLD, DNM1L, FASLG, CD14	159	18	16792	23.468902865129284	0.7005322249548827	0.01533944717864133	1.0289208180565335
